cuenta_id,fecha,transaccion,monto,descripcion
103,08-03-2024,deposito,3000,Retiro parcial
110,24-07-2024,retiro,1500,
109,2024/03/18,deposito,3000,Ingreso mensual
105,24/03/2024,deposito,1000,Ingreso navideño
120,2024/04/11,compra,,Ingreso mensual
120,2024-02-26,compra,1000,
102,18-12-2024,compra,3000,
105,2024/06/21,compra,3000,Ingreso extra
111,2024/09/16,compra,2500,Ingreso mensual
106,12/02/2024,deposito,-100,Ingreso navideño
106,21-06-2024,deposito,2000,Ingreso extra
106,2024/07/11,compra,1500,Ingreso navideño
108,2024-02-15,compra,3000,Ingreso mensual
110,13/11/2024,compra,-500,Ingreso mensual
109,04/12/2024,retiro,1000,Compra en tienda
102,19-04-2024,deposito,2000,
108,2024-07-19,retiro,2000,Retiro parcial
104,26-08-2024,retiro,2500,Compra en tienda
120,09-03-2024,retiro,3000,Compra en tienda
109,2024/05/02,deposito,3000,Ingreso mensual
116,2024/12/24,compra,2500,Compra en tienda
114,08/07/2024,compra,5000,Ingreso mensual
119,2024/08/15,retiro,1500,Ingreso extra
103,05-10-2024,compra,1000,Retiro parcial
102,2024/09/30,depósito,2000,Ingreso navideño
119,25/07/2024,retiro,-500,Ingreso mensual
103,11-08-2024,pago,1000,Compra en tienda
103,2024/12/19,compra,5000,Retiro parcial
111,2024-03-10,retiro,-500,Retiro parcial
111,2024-04-26,retiro,2000,Ingreso navideño
108,2024-12-22,deposito,1000,Ingreso extra
117,2024-01-11,deposito,-1000,Ingreso extra
113,24/01/2024,compra,5000,Compra en tienda
109,20-11-2024,retiro,-1000,Retiro parcial
113,25-01-2024,deposito,-500,Ingreso navideño
109,15/10/2024,retiro,-500,Ingreso extra
103,2024-05-09,retiro,3000,Ingreso extra
114,30-09-2024,deposito,1000,Ingreso mensual
120,13/01/2024,deposito,1000,Retiro parcial
113,2024-02-29,retiro,2500,Ingreso mensual
109,2024-11-27,deposito,2000,
117,30-05-2024,deposito,1000,Ingreso navideño
118,2024-09-01,retiro,-100,Ingreso navideño
112,2024/04/01,retiro,3000,Retiro parcial
105,2024-01-17,compra,-500,Ingreso mensual
116,2024/11/22,compra,2500,Compra en tienda
108,2024-05-14,deposito,3000,Ingreso extra
111,2024-07-19,compra,-100,Compra en tienda
107,2024-11-30,deposito,3000,Compra en tienda
111,2024/09/25,depósito,2000,Ingreso navideño
107,2024-02-29,deposito,-500,
102,2024/11/05,retiro,,Ingreso navideño
114,23-04-2024,retiro,2000,Compra en tienda
109,2024/03/09,deposito,3000,
104,2024/11/01,retiro,-500,Ingreso navideño
104,2024-02-02,retiro,-100,Ingreso mensual
113,02/05/2024,retiro,-100,Retiro parcial
113,11-01-2024,deposito,3000,Retiro parcial
105,01/12/2024,deposito,2000,Ingreso mensual
109,05-07-2024,retiro,-500,Compra en tienda
106,2024/04/06,retiro,2500,Compra en tienda
116,25/06/2024,retiro,2000,
114,2024-09-04,compra,2500,Retiro parcial
110,2024/02/15,deposito,0,Compra en tienda
109,2024/11/26,retiro,2000,
118,2024/05/19,retiro,2000,
112,2024-07-23,compra,3000,Retiro parcial
120,2024-08-18,deposito,1500,Compra en tienda
104,2024/07/31,deposito,,Compra en tienda
102,16-10-2024,deposito,2500,Retiro parcial
117,2024-01-12,retiro,,Ingreso extra
